Strain,Experiment,Source,Mouse,Vaccination_status,Lung_CFU,Spleen_CFU,Cell number,CD3_prestim,CD4_prestim,CD8_prestim,CD4neg_CD8neg_prestim,CD3neg_prestim,CD3_p300,CD3_media,CD4_p300,CD4_media,CD8_p300,CD8_media,CD4neg_CD8neg_p300,CD4neg_CD8neg_media,CD3neg_p300,CD3neg_media,CD4_aCD3_CD107a,CD4_p300_CD107a,CD4_media_CD107a,CD8_aCD3_CD107a,CD8_p300_CD107a,CD8_media_CD107a,CD4neg_CD8neg_aCD3_CD107a,CD4neg_CD8neg_p300_CD107a,CD4neg_CD8neg_media_CD107a,CD3neg_aCD3_CD107a,CD3neg_p300_CD107a,CD3neg_media_CD107a,CD4_aCD3_IFNg,CD4_p300_IFNg,CD4_media_IFNg,CD8_aCD3_IFNg,CD8_p300_IFNg,CD8_media_IFNg,CD4neg_CD8neg_aCD3_IFNg,CD4neg_CD8neg_p300_IFNg,CD4neg_CD8neg_media_IFNg,CD3neg_aCD3_IFNg,CD3neg_p300_IFNg,CD3neg_media_IFNg,CD4_aCD3_IL-2,CD4_p300_IL-2,CD4_media_IL-2,CD8_aCD3_IL-2,CD8_p300_IL-2,CD8_media_IL-2,CD4neg_CD8neg_aCD3_IL-2,CD4neg_CD8neg_p300_IL-2,CD4neg_CD8neg_media_IL-2,CD3neg_aCD3_IL-2,CD3neg_p300_IL-2,CD3neg_media_IL-2,CD4_aCD3_IL-4,CD4_p300_IL-4,CD4_media_IL-4,CD8_aCD3_IL-4,CD8_p300_IL-4,CD8_media_IL-4,CD4neg_CD8neg_aCD3_IL-4,CD4neg_CD8neg_p300_IL-4,CD4neg_CD8neg_media_IL-4,CD3neg_aCD3_IL-4,CD3neg_p300_IL-4,CD3neg_media_IL-4,CD4_aCD3_IL-10,CD4_p300_IL-10,CD4_media_IL-10,CD8_aCD3_IL-10,CD8_p300_IL-10,CD8_media_IL-10,CD4neg_CD8neg_aCD3_IL-10,CD4neg_CD8neg_p300_IL-10,CD4neg_CD8neg_media_IL-10,CD3neg_aCD3_IL-10,CD3neg_p300_IL-10,CD3neg_meda_IL-10,CD4_aCD3_IL-17a,CD4_p300_IL-17a,CD4_media_IL-17a,CD8_aCD3_IL-17a,CD8_p300_IL-17a,CD8_media_IL-17a,CD4neg_CD8neg_aCD3_IL-17a,CD4neg_CD8neg_p300_IL-17a,CD4neg_CD8neg_media_IL-17a,CD3neg_aCD3_IL-17a,CD3neg_p300_IL-17a,CD3neg_media_IL-17a,CD4_aCD3_TNF,CD4_p300_TNF,CD4_media_TNF,CD8_aCD3_TNF,CD8_p300_TNF,CD8_media_TNF,CD4neg_CD8neg_aCD3_TNF,CD4neg_CD8neg_p300_TNF,CD4neg_CD8neg_media_TNF,CD3neg_aCD3_TNF,CD3neg_p300_TNF,CD3neg_media_TNF
CC042,RL-03,UNC,56,1,4.491361694,4.077367905,23500840.34,2028122.521,1139790.756,8930.319328,190356.8067,10410872.27,0.589,0.564,0.8,0.77,0.0231,0.0267,0.14,0.15,0.403,0.427,0.146,0.171,0.162,0.125,0.0958,0.0781,,0.0479,0.0619,,0.57,0.532,0.0506,0.0621,0.007,0.14,0.0778,0.0991,,0,0,,0.024,0.0073,0.0239,0.0193,0.0025,0.0043,0.003,0.003,,0.001,0.0005,,0.0036,0.0005,0.0039,0.0028,0.0027,0.0029,0.009,0,,0.001,0,,0.0001,0,0.039,0.0252,0.003,0.0144,0.012,0,,0.001,0.0011,,0.0035,0.0002,0.0859,0.039,0.0078,0.0094,0.003,0,,0.0435,0.0261,,0.0079,0.0009,0.0786,0.0722,0.006,0.102,0.0838,0.027,,0.0114,0.0048,,0.0465,0.0067
CC042,RL-03,UNC,57,1,4.568201724,3.768391413,25926050.42,3033347.899,2442233.95,33703.86555,134815.4622,11640796.64,0.496,0.454,0.851,0.847,0.0228,0.0212,0.0883,0.0868,0.485,0.537,0.0743,0.102,0.123,0.0715,0.199,0.371,,0.0932,0.104,,0.447,0.389,0.0167,0.0174,0.0073,0.0292,0.0588,0.0112,,0,0,,0.0136,0.0052,0.0066,0.0024,0.0045,0.0019,0.0147,0.0337,,0,0,,0.0021,0.0028,0.0032,0.002,0.0034,0.0028,0.0074,0.0112,,0,0.0027,,0,0.0004,0.0066,0.0037,0.0037,0.0113,0.0294,0.0449,,0.0019,0.0027,,0.0017,0.0004,0.0136,0.0049,0.0053,0.0066,0.0221,0,,0.0456,0.0302,,0.0045,0.0022,0.0081,0.0067,0.0059,0.0169,0.0294,0.0337,,0,0.0082,,0.0178,0.0163
CC042,RL-03,UNC,58,1,4.662757832,3.263241435,34053781.51,2765167.059,2101118.319,24859.2605,132809.7479,10284242.02,0.555,0.526,0.841,0.807,0.0246,0.014,0.0944,0.116,0.428,0.464,0.0912,0.0999,0.112,0.123,0.127,0.392,,0.0537,0.126,,0.455,0.38,0.0203,0.0141,0.0089,0.0987,0.0588,0.0196,,0,0,,0.0141,0.0062,0.0406,0.0126,0.0048,0.0359,0.0196,0,,0,0.0047,,0.0066,0.0028,0.004,0.0029,0.0051,0.009,0.0196,0.0196,,0,0,,0.0003,0.0003,0.0123,0.0072,0.0068,0.0202,0.0294,0.0196,,0,0.0047,,0.0034,0.0009,0.0207,0.0098,0.0085,0.0067,0.0098,0,,0.0332,0.0403,,0.0025,0.0031,0.0199,0.0161,0.0109,0.0695,0.0392,0.0588,,0,0.0071,,0.031,0.0184
CC042,RL-03,UNC,59,1,4.979244778,4.025305865,19326050.42,1598264.37,1267788.908,21258.65546,88899.83193,5411294.118,0.571,0.512,0.796,0.824,0.0501,0.0268,0.0875,0.0912,0.42,0.478,0.0465,0.0569,0.0924,0.0465,0.108,0.362,,0.0689,0.109,,0.315,0.287,0.0185,0.0104,0.0065,0.114,0.0622,0.0431,,0,0,,0.0305,0.0079,0.0006,0.0034,0.0034,0,0.0124,0.0172,,0,0,,0.0017,0.0032,0.0018,0.0008,0.002,0.001,0.0041,0.0345,,0,0.0025,,0,0.0003,0.0076,0.0031,0.0045,0.0101,0.0332,0.0603,,0,0,,0.0031,0.0012,0.0052,0.0047,0.0039,0.0071,0.0166,0.0431,,0.0238,0.0355,,0.0054,0.0025,0.0131,0.0063,0.0062,0.0516,0.0415,0.0431,,0,0,,0.035,0.0194
CC042,RL-03,UNC,60,1,4.857332496,4.008600172,11989915.97,1105470.252,820110.2521,8872.537815,55153.61345,5095714.286,0.58,0.532,0.819,0.843,0.0529,0.0286,0.0832,0.0764,0.401,0.457,0.0754,0.0833,0.108,0.0995,0.0873,0.207,,0.05,0.128,,0.436,0.349,0.0344,0.0278,0.0137,0.0971,0.0509,0.0244,,0,0,,0.0357,0.0041,0.0103,0.0083,0.0046,0,0.0073,0.0061,,0.0009,0,,0.0043,0.0008,0.0031,0.001,0.0037,0.0018,0.0087,0.0122,,0.0009,0,,0.0003,0.0006,0.0152,0.0092,0.0058,0.0174,0.0146,0.0244,,0,0,,0.0093,0,0.0239,0.011,0.0087,0.0066,0.0058,0.0061,,0.0564,0.0388,,0.0087,0.0051,0.0321,0.0209,0.0159,0.0833,0.0335,0.0671,,0.0065,0.0046,,0.0419,0.0175
C57BL6,RL-03,UNC,61,0,6.025305865,5.075546961,23097478.99,4527105.882,3071964.706,965474.6218,203257.8151,12403346.22,0.45,0.469,0.599,0.559,0.231,0.282,0.118,0.103,0.541,0.522,0.219,0.0788,0.0369,0.543,0.0845,0.0695,,0.0822,0.101,,0.613,0.451,0.508,0.196,0.0811,0.491,0.0693,0.0541,,0.0006,0,,0.198,0.0203,0.0487,0.0151,0.0021,0.0116,0.009,0.0023,,0.0018,0.0008,,0.016,0.0015,0.0009,0.0005,0.0007,0.0025,0.0012,0.0023,,0.0012,0.0048,,0.0017,0.0006,0.0522,0.0212,0.0012,0.0397,0.0342,0.0073,,0.0006,0.0016,,0.0444,0.0021,0.046,0.0302,0.0019,0.0181,0.0121,0.0035,,0.0453,0.046,,0.0395,0.0038,0.108,0.033,0.0059,0.106,0.0227,0.0096,,0.0163,0.0119,,0.143,0.0141
C57BL6,RL-03,UNC,62,0,5.812913357,4.049218023,22154621.85,4342305.882,3101647.059,720025.2101,177236.9748,8440910.924,0.584,0.57,0.581,0.545,0.287,0.312,0.0921,0.089,0.41,0.42,0.119,0.0502,0.0504,0.332,0.104,0.0578,,0.0518,0.0682,,0.444,0.348,0.261,0.0837,0.0404,0.203,0.0763,0.0202,,0,0,,0.0629,0.0105,0.0326,0.0067,0.0027,0.0101,0.0031,0.004,,0.0019,0,,0.003,0.0031,0.0024,0.0003,0.0019,0.0006,0,0.0013,,0.0058,0.0024,,0.001,0.0034,0.0369,0.004,0.0038,0.0196,0,0.0027,,0,0,,0.0023,0.0014,0.0335,0.0049,0.0035,0.0082,0,0.002,,0.0422,0.0353,,0.0033,0.0048,0.0762,0.0067,0.0065,0.0621,0,0.006,,0,0.0047,,0.0242,0.0091
C57BL6,RL-03,UNC,63,0,5.809784098,4.423245874,27075630.25,4250873.95,2788789.916,852882.3529,154331.0924,9070336.134,0.556,0.577,0.547,0.466,0.335,0.368,0.0786,0.112,0.433,0.413,0.105,0.0318,0.0331,0.31,0.115,0.0309,,0.0442,0.0873,,0.494,0.338,0.226,0.109,0.0541,0.236,0.0979,0.021,,0,0,,0.168,0.0119,0.0228,0.0069,0.0017,0.0043,0.0085,0,,0,0,,0.011,0.0017,0.0014,0.0006,0.0017,0,0,0,,0,0.0036,,0,0.0011,0.0308,0.0058,0.0061,0.0158,0,0.0055,,0.004,0.0036,,0.0365,0.0006,0.0242,0.0069,0.0061,0.0046,0,0.0022,,0.0241,0.0291,,0.0252,0.0023,0.0626,0.0179,0.0087,0.0621,0,0.0077,,0.004,0.0036,,0.12,0.008
C57BL6,RL-03,UNC,64,0,6.045322979,5.284430734,29490756.3,5809678.992,3686344.538,1217968.235,247722.3529,10882089.08,0.459,0.538,0.631,0.549,0.22,0.304,0.0942,0.0826,0.524,0.451,0.192,0.0611,0.0443,0.49,0.158,0.0521,,0.122,0.115,,0.508,0.324,0.472,0.181,0.11,0.441,0.102,0.0156,,0.0024,0,,0.195,0.0085,0.0383,0.0089,0.0014,0.0118,0.0082,0.0017,,0.0024,0.0032,,0.0178,0.0003,0.0019,0.0014,0.0019,0.0018,0,0,,0.0024,0,,0.0006,0.0016,0.0854,0.01,0.0029,0.0691,0,0,,0,0,,0.0525,0.0013,0.0739,0.0097,0.0029,0.0296,0.0082,0,,0.0478,0.0511,,0.0399,0.0041,0.156,0.0215,0.0077,0.161,0.0369,0,,0.0072,0.0096,,0.144,0.0076
C57BL6,RL-03,UNC,65,0,5.913813852,5.23299611,21332773.11,4095892.437,2943922.689,584517.9832,145062.8571,8127786.555,0.472,0.437,0.735,0.755,0.163,0.145,0.0712,0.0633,0.52,0.548,0.129,0.0508,0.0267,0.478,0.118,0.0612,,0.107,0.0916,,0.476,0.271,0.382,0.182,0.0886,0.409,0.0607,0.0118,,0,0,,0.215,0.0053,0.0239,0.0179,0.0007,0.0101,0.0327,0.0047,,0.0053,0,,0.0263,0.0008,0.001,0.0008,0.0009,0.0021,0,0,,0.008,0.0054,,0.0014,0.0014,0.0556,0.0067,0.0018,0.0756,0,0,,0,0,,0.0697,0.0008,0.0445,0.0054,0.0032,0.0317,0,0,,0.0401,0.0458,,0.0537,0.0024,0.103,0.0161,0.0066,0.163,0,0,,0,0.0054,,0.17,0.0064
