Strain,Experiment,Source,Mouse,Vaccination_status,Lung_CFU,Spleen_CFU,Cell number,CD3_prestim,CD4_prestim,CD8_prestim,CD4neg_CD8neg_prestim,CD3neg_prestim,CD3_p300,CD3_media,CD4_p300,CD4_media,CD8_p300,CD8_media,CD4neg_CD8neg_p300,CD4neg_CD8neg_media,CD3neg_p300,CD3neg_media,CD4_aCD3_CD107a,CD4_p300_CD107a,CD4_media_CD107a,CD8_aCD3_CD107a,CD8_p300_CD107a,CD8_media_CD107a,CD4neg_CD8neg_aCD3_CD107a,CD4neg_CD8neg_p300_CD107a,CD4neg_CD8neg_media_CD107a,CD3neg_aCD3_CD107a,CD3neg_p300_CD107a,CD3neg_media_CD107a,CD4_aCD3_IFNg,CD4_p300_IFNg,CD4_media_IFNg,CD8_aCD3_IFNg,CD8_p300_IFNg,CD8_media_IFNg,CD4neg_CD8neg_aCD3_IFNg,CD4neg_CD8neg_p300_IFNg,CD4neg_CD8neg_media_IFNg,CD3neg_aCD3_IFNg,CD3neg_p300_IFNg,CD3neg_media_IFNg,CD4_aCD3_IL-2,CD4_p300_IL-2,CD4_media_IL-2,CD8_aCD3_IL-2,CD8_p300_IL-2,CD8_media_IL-2,CD4neg_CD8neg_aCD3_IL-2,CD4neg_CD8neg_p300_IL-2,CD4neg_CD8neg_media_IL-2,CD3neg_aCD3_IL-2,CD3neg_p300_IL-2,CD3neg_media_IL-2,CD4_aCD3_IL-4,CD4_p300_IL-4,CD4_media_IL-4,CD8_aCD3_IL-4,CD8_p300_IL-4,CD8_media_IL-4,CD4neg_CD8neg_aCD3_IL-4,CD4neg_CD8neg_p300_IL-4,CD4neg_CD8neg_media_IL-4,CD3neg_aCD3_IL-4,CD3neg_p300_IL-4,CD3neg_media_IL-4,CD4_aCD3_IL-10,CD4_p300_IL-10,CD4_media_IL-10,CD8_aCD3_IL-10,CD8_p300_IL-10,CD8_media_IL-10,CD4neg_CD8neg_aCD3_IL-10,CD4neg_CD8neg_p300_IL-10,CD4neg_CD8neg_media_IL-10,CD3neg_aCD3_IL-10,CD3neg_p300_IL-10,CD3neg_meda_IL-10,CD4_aCD3_IL-17a,CD4_p300_IL-17a,CD4_media_IL-17a,CD8_aCD3_IL-17a,CD8_p300_IL-17a,CD8_media_IL-17a,CD4neg_CD8neg_aCD3_IL-17a,CD4neg_CD8neg_p300_IL-17a,CD4neg_CD8neg_media_IL-17a,CD3neg_aCD3_IL-17a,CD3neg_p300_IL-17a,CD3neg_media_IL-17a,CD4_aCD3_TNF,CD4_p300_TNF,CD4_media_TNF,CD8_aCD3_TNF,CD8_p300_TNF,CD8_media_TNF,CD4neg_CD8neg_aCD3_TNF,CD4neg_CD8neg_p300_TNF,CD4neg_CD8neg_media_TNF,CD3neg_aCD3_TNF,CD3neg_p300_TNF,CD3neg_media_TNF
CC041,RL-07,UNC,124,0,5.838849091,2.33243846,6516387.513,48221.2676,18897.52379,2345.899505,4105.324133,415745.5233,529130.6661,447675.8222,129676.1115,80151.56641,99700.72895,107520.394,37795.04758,31278.66006,742868.1765,568228.9911,3193.029881,7168.026264,3062.702131,13684.41378,12381.13627,8471.303767,,5799.584887,2541.39113,,105565.4777,100352.3677,47569.62885,29323.74381,7819.665016,24762.27255,13032.77503,7819.665016,,0,0,,63208.95888,16290.96878,8471.303767,5278.273886,0,3193.029881,3193.029881,510.2331423,,0,0,,1042.622002,510.2331423,1563.933003,529.1306661,1042.622002,265.8686105,1042.622002,0,,1042.622002,510.2331423,,529.1306661,510.2331423,4496.307384,1042.622002,0,1042.622002,0,510.2331423,,0,0,,0,0,5343.437761,529.1306661,0,1042.622002,529.1306661,1042.622002,,0,0,,0,0,37795.04758,9774.58127,6516.387513,29975.38256,16942.60753,22155.71754,,0,0,,45614.71259,36491.77007
CC041,RL-07,UNC,125,0,6.033423755,2.322219295,7258443.439,103069.8968,29759.6181,21049.48597,7258.443439,593740.6733,615516.0036,380342.4362,93633.92037,68955.21267,172025.1095,112505.8733,39921.43892,31937.15113,1037957.412,567610.2769,3411.468416,1524.273122,352.7603511,23952.86335,15242.73122,4572.819367,,5443.832579,705.5207023,,115409.2507,61696.76923,37743.90588,17420.26425,2830.792941,41373.1276,28307.92941,6677.767964,,389.0525683,705.5207023,,41373.1276,8710.132127,3919.559457,389.0525683,0,6387.430227,5443.832579,1742.026425,,389.0525683,0,,389.0525683,0,490.6707765,0,0,2467.870769,1161.35095,705.5207023,,1161.35095,1088.766516,,0,0,1451.688688,389.0525683,0,1451.688688,798.4287783,705.5207023,,798.4287783,352.7603511,,389.0525683,0,1016.182081,0,0,1451.688688,798.4287783,1088.766516,,798.4287783,0,,389.0525683,0,26856.24073,3121.130679,0,46454.03801,47905.7267,2104.948597,,0,0,,55890.01448,2104.948597
CC041,RL-07,UNC,126,0,5.382017043,2.146128036,7736434.419,105215.5081,34813.95488,8510.07786,2166.201637,581006.2248,770548.8681,578685.2945,119914.7335,107536.4384,198826.3646,150086.8277,41003.10242,35587.59833,753528.7124,701694.6018,5879.690158,3790.852865,2166.201637,17793.79916,21662.01637,3481.395488,,6266.511879,4332.403274,,122235.6638,129972.0982,58796.90158,25530.23358,5183.41106,42550.3893,37908.52865,13151.93851,,851.007786,0,,43324.03274,20888.37293,6885.426633,5415.504093,851.007786,3945.581554,2475.659014,851.007786,,0,0,,2088.837293,0,1005.736474,851.007786,0,654.5023518,851.007786,0,,0,431.6930406,,0,851.007786,1315.193851,1702.015572,0,654.5023518,2939.845079,431.6930406,,0,0,,417.7674586,0,4873.953684,2088.837293,0,1934.108605,2475.659014,0,,417.7674586,0,,417.7674586,851.007786,23209.30326,10057.36474,3481.395488,24756.59014,66533.336,10057.36474,,417.7674586,0,,72722.48354,15472.86884
CC041,RL-07,UNC,127,0,6.73239376,1.929418926,8092420.708,145663.5727,50173.00839,15375.59934,3560.665111,649821.3828,702422.1174,620688.6683,110056.9216,183697.9501,152946.7514,144045.0886,42889.82975,42080.58768,620688.6683,906351.1192,4855.452425,5340.997667,2346.802005,10520.14692,22658.77798,4774.528217,,6312.088152,5583.770288,,69594.81808,77687.23879,55028.46081,21849.53591,14566.35727,31560.44076,36415.89318,10520.14692,,0,0,,40462.10354,23468.02005,10520.14692,7283.178637,1213.863106,5502.846081,6797.633394,2346.802005,,487.9729687,0,,487.9729687,0,2913.271455,971.0904849,795.4849555,971.0904849,971.0904849,0,,1942.18097,1213.863106,,971.0904849,3156.044076,2913.271455,2427.726212,397.3378567,1942.18097,2913.271455,397.3378567,,971.0904849,397.3378567,,0,795.4849555,7121.330223,2913.271455,1213.863106,1942.18097,3884.36194,795.4849555,,0,0,,487.9729687,397.3378567,29941.95662,15375.59934,15375.59934,20231.05177,87398.14364,12138.63106,,971.0904849,0,,94681.32228,20231.05177
CC041,RL-07,UNC,128,1,6.256878032,3.007178585,9327509.287,97006.09659,19587.7695,2425.152415,4850.304829,717285.4642,643598.1408,523273.271,86745.83637,126854.1263,105400.8549,100737.1003,54099.55387,42906.54272,689302.9363,960733.4566,3917.553901,2052.052043,2518.427508,12125.76207,11193.01114,1678.951672,,10260.26022,4663.754644,,113795.6133,126854.1263,41973.79179,13991.26393,5596.505572,23318.77322,4570.479551,6435.981408,,506.4837543,427.1999254,,15856.76579,10260.26022,6156.15613,0,854.3998507,2798.252786,1026.026022,1305.8513,,1026.026022,0,,1026.026022,0,0,0,854.3998507,0,506.4837543,0,,2052.052043,0,,1026.026022,854.3998507,2238.602229,506.4837543,854.3998507,1678.951672,1492.401486,427.1999254,,1026.026022,0,,0,0,2238.602229,2052.052043,427.1999254,1678.951672,2052.052043,427.1999254,,0,0,,0,0,32646.28251,7088.907058,4290.654272,37310.03715,42906.54272,3824.278808,,1492.401486,0,,81149.3308,7648.557615
CC041,RL-07,UNC,129,1,5.770852012,1,4686317.155,50612.22527,22962.95406,2249.432234,2249.432234,374436.7407,266651.4461,307891.0371,108253.9263,132154.1438,31866.95665,44051.38126,18276.6369,19213.90033,456447.2909,492063.3013,3702.190552,3280.422008,2952.379808,4686.317155,2577.474435,2155.705891,,3749.053724,3186.695665,,70763.38904,59984.85958,59047.59615,18276.6369,6560.844017,7029.475732,233.847226,1077.852946,,0,0,,23431.58577,4030.232753,2999.242979,1640.211004,796.6739163,562.3580586,467.2258203,1077.852946,,0,0,,1405.895146,2155.705891,372.0935821,702.9475732,267.5887095,372.0935821,467.2258203,0,,233.847226,267.5887095,,0,0,1874.526862,1405.895146,515.494887,372.0935821,467.2258203,0,,233.847226,515.494887,,0,267.5887095,937.263431,1171.579289,1359.031975,1499.62149,937.263431,267.5887095,,233.847226,267.5887095,,0,0,31866.95665,10309.89774,3186.695665,6560.844017,702.9475732,515.494887,,0,0,,21557.05891,2671.200778
CC041,RL-07,UNC,130,1,6.123851641,2.06069784,6334216.126,80444.5448,25336.8645,1203.501064,4243.924804,423759.0588,292640.785,301508.6876,74110.32867,84878.49609,58908.20997,54474.25868,15835.54031,22169.75644,407923.5185,438327.7559,7601.059351,3927.213998,3230.450224,10768.16741,5700.794513,5700.794513,,1773.580515,5700.794513,,58274.78836,79811.12319,55107.6803,8867.902576,3610.503192,18369.22677,886.7902576,1773.580515,,300.2418444,0,,13935.27548,8867.902576,3673.845353,600.4836887,358.5166327,3673.845353,300.2418444,0,,0,0,,600.4836887,358.5166327,0,300.2418444,0,0,300.2418444,0,,300.2418444,1456.869709,,0,0,3673.845353,600.4836887,358.5166327,0,600.4836887,0,,300.2418444,1076.816741,,0,696.7637738,3673.845353,1203.501064,358.5166327,3673.845353,886.7902576,358.5166327,,0,358.5166327,,300.2418444,696.7637738,36738.45353,8867.902576,6967.637738,25970.28612,6334.216126,3610.503192,,0,0,,28503.97257,20902.91322
CC041,RL-07,UNC,131,1,6.278753601,1.602059991,6558169.941,110833.072,33446.6667,2295.359479,4590.718959,516783.7914,594170.1967,478090.5887,155428.6276,173135.6865,62958.43144,45907.18959,32135.03271,33446.6667,567281.6999,471532.4188,10493.07191,9181.437918,3803.738566,6558.169941,8525.620924,3541.411768,,4984.209155,5902.352947,,111488.889,80009.67329,128540.1309,41316.47063,13772.15688,9181.437918,2688.849676,293.8060134,,0,293.8060134,,43939.73861,6492.588242,13772.15688,11148.8889,1180.470589,655.8169941,2688.849676,0,,0,0,,6492.588242,0,983.7254912,2688.849676,0,655.8169941,786.980393,852.5620924,,786.980393,0,,381.0296736,293.8060134,10493.07191,4984.209155,0,1311.633988,1114.88889,293.8060134,,1508.379087,293.8060134,,1114.88889,587.6120267,7213.986936,4197.228762,0,1311.633988,786.980393,587.6120267,,786.980393,293.8060134,,381.0296736,0,112800.523,20330.32682,13772.15688,19018.69283,7869.80393,4393.973861,,0,0,,51809.54254,22953.59479
CC041,RL-07,UNC,132,1,4.819543936,,4804979.251,61503.73441,21141.90871,1057.095435,6246.473026,302713.6928,310401.6596,333465.56,78321.16179,115800,46127.80081,51893.77591,13934.43983,24505.39418,380073.8588,494912.8629,4804.979251,5285.477176,1681.742738,6726.970952,5765.975101,4180.331949,,2546.639003,3651.784231,,88892.11615,61984.23234,31232.36513,11051.45228,7207.468877,6246.473026,1009.045643,1393.443983,,0,0,,10090.45643,4804.979251,4804.979251,1009.045643,0,672.6970952,528.5477176,0,,0,576.5975101,,1537.59336,279.6497924,864.8962652,528.5477176,0,172.979253,0,279.6497924,,0,1105.145228,,0,576.5975101,1729.79253,528.5477176,0,345.4780082,528.5477176,279.6497924,,528.5477176,279.6497924,,528.5477176,279.6497924,2258.340248,1009.045643,0,672.6970952,528.5477176,576.5975101,,0,0,,0,0,25946.88796,6246.473026,7687.966802,10570.95435,2546.639003,2498.589211,,0,576.5975101,,5285.477176,14414.93775
CC072,RL-07,UNC,133,0,5.319453078,3.15330662,9940875.334,329042.9736,98414.66581,21869.92574,54674.81434,751530.1753,1262491.167,1033851.035,263433.1964,280332.6844,154083.5677,85491.52787,208758.382,206770.207,454298.0028,643174.6341,19881.75067,11929.0504,2684.03634,33798.97614,12923.13793,6461.568967,,6461.568967,7853.291514,,161042.1804,223669.695,119290.504,28828.53847,6859.203981,65609.77721,12923.13793,6859.203981,,406.5818012,0,,84497.44034,50698.4642,23858.1008,4473.3939,682.9381355,1988.175067,406.5818012,340.972024,,0,0,,10934.96287,7853.291514,3280.48886,0,0,3678.123874,0,994.0875334,,406.5818012,1391.722547,,0,3081.671354,4075.758887,0,340.972024,2882.853847,1988.175067,1689.948807,,406.5818012,0,,406.5818012,0,20875.8382,3678.123874,3777.532627,6461.568967,1590.540053,1391.722547,,1988.175067,2087.58382,,0,994.0875334,135195.9045,39763.50134,49704.37667,75550.65254,64615.68967,16899.48807,,813.1636023,5765.707694,,104379.191,150107.2175
