Strain,Experiment,Source,Mouse,Vaccination_status,Lung_CFU,Spleen_CFU,Cell number,CD3_prestim,CD4_prestim,CD8_prestim,CD4neg_CD8neg_prestim,CD3neg_prestim,CD4_Tbet,CD4_Foxp3,CD4_RoRgt,CD4_Tbet_RoRgt,CD4_CD11a,CD4_aCD3_IFNg,CD4_p300_IFNg,CD4_media3_IFNg,CD8_aCD3_IFNg,CD8_p300_IFNg,CD8_media3_IFNg,CD4_aCD3_TNF,CD4_p300_TNF,CD4_media_TNF,CD4_aCD3_IL2,CD4_p300_IL2,CD4_media_IL2,CD4_aCD3_IL17,CD4_p300_IL17,CD4_media_IL17,CD4_aCD3_IFNg_IL17,CD4_p300_IFNg_IL17,CD4_media_IFNg_IL17,CD4_aCD3_IFNg_TNF_IL2,CD4_p300_IFNg_TNF_IL2,CD4_media_IFNg_TNF_IL2,CD4_aCD3_TNF_IL2,CD4_p300_TNF_IL2,CD4_media_TNF_IL2
C57BL/6,RL-25,Jax,446,1,5.857332496,3.431363764,18276000,0.341,0.536,0.303,0.0521,0.623,0.519,0.0453,0.0124,0.0006,0.637,0.341,0.0909,0.0333,0.135,0.0452,0.0271,0.127,0.0141,0.0038,0.0434,0.0036,0.0001,0.0071,0.0004,0.0003,0.0027,0.0002,0.000056,0.0239,0.0015,0,0.0149,0.0008,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC040,RL-29,UNC,490,0,8.127104798,3.763427994,26976000,0.123,0.503,0.154,0.243,0.868,0.194,0.142,0.0072,0.0012,0.687,0.204,0.0577,0.0549,0.107,0.0106,0.0343,0.235,0.109,0.0963,0.0253,0.0055,0.0017,0.018,0.0077,0.0078,0.0044,0.0027,0,0.0175,0.0049,0.0006,0.0297,0.0093,0.005
CC040,RL-29,UNC,491,0,6.45331834,3.544068044,16716000,0.227,0.582,0.145,0.203,0.747,0.504,0.0425,0.0181,0.0242,0.785,0.375,0.142,0.0931,0.0886,0.0359,0.0378,0.283,0.195,0.131,0.0303,0.0162,0.0022,0.0145,0.0088,0.0095,0.0052,0.0045,0.0011,0.022,0.0149,0.0018,0.0377,0.0188,0.007
CC040,RL-29,UNC,492,0,7.632457292,4.515873844,25860000,0.0994,0.444,0.265,0.195,0.887,0.467,0.0668,0.0097,0.01,0.783,0.389,0.191,0.181,0.0759,0.0602,0.0612,0.272,0.173,0.219,0.0279,0.0123,0.0022,0.019,0.0123,0.0148,0.0068,0.0047,0.0015,0.0195,0.01,0.0015,0.0321,0.0287,0.0155
CC040,RL-29,UNC,493,0,7.42975228,4.477121255,19644000,0.0792,0.604,0.131,0.186,0.915,0.179,0.147,0.0163,0.0063,0.679,0.189,0.0523,0.0328,0.074,0.0325,0.0334,0.277,0.157,0.0789,0.0709,0.0145,0.0048,0.0297,0.007,0.0044,0.0063,0.0005,0,0.038,0.0103,0.0028,0.0728,0.0206,0.008
CC040,RL-29,UNC,494,0,7.127104798,2.942834494,26914800,0.0636,0.254,0.0939,0.512,0.931,0.199,0.125,0.0507,0.0158,0.857,0.113,0.0392,0.0191,0.012,0.0119,0,0.278,0.245,0.16,0.0419,0.0294,0.0076,0.0517,0.0245,0.0076,0,0.0049,0,0.0197,0.0098,0.0038,0.0493,0.0245,0.0076
CC040,RL-29,UNC,495,1,7.62324929,2.322219295,21660000,0.159,0.506,0.246,0.186,0.827,0.228,0.0486,0.0134,0.0075,0.582,0.135,0.0469,0.033,0.035,0.0093,0.0166,0.22,0.0884,0.0647,0.024,0.0055,0.0011,0.0193,0.0045,0.0035,0.005,0.0003,0.0007,0.0093,0.0045,0.0007,0.0228,0.0079,0.0035
CC040,RL-29,UNC,496,1,8.120573931,2.795880017,10250400,0.0866,0.51,0.255,0.172,0.905,0.211,0.196,0.0172,0.0041,0.646,0.141,0.0353,0.0376,0.116,0.0551,0.0493,0.193,0.0881,0.0584,0.0232,0.0042,0.0007,0.0244,0.0057,0.0042,0.004,0.0005,0.0007,0.0102,0.0033,0.0007,0.021,0.0047,0.0014
CC040,RL-29,UNC,497,1,8.176091259,2.716003344,16308000,0.0933,0.566,0.189,0.181,0.895,0.479,0.069,0.0097,0.0099,0.776,0.404,0.163,0.124,0.155,0.0647,0.0776,0.286,0.145,0.103,0.017,0.0076,0.0015,0.0152,0.0113,0.006,0.0049,0.0047,0.0004,0.0097,0.0065,0.0011,0.0182,0.0098,0.0034
CC040,RL-29,UNC,498,1,7.08278537,2.809559715,8295600,0.371,0.224,0.14,0.0657,0.621,0.135,0.0846,0.0258,0.0064,0.667,0.0408,0.0166,0.005,0.0092,0.0044,0,0.109,0.0698,0.0392,0.0121,0.0041,0.0032,0.0242,0.0069,0.0109,0.0017,0,0,0.0035,0.0014,0.0014,0.0161,0.0076,0.0068
CC040,RL-29,UNC,499,1,7.146128036,2.922552467,16248000,0.0803,0.484,0.264,0.134,0.908,0.239,0.237,0.0186,0.0042,0.718,0.152,0.0421,0.0119,0.105,0.028,0.0487,0.17,0.114,0.106,0.054,0.0062,0.0016,0.0334,0.0069,0.0051,0.0046,0.0015,0,0.0284,0.0033,0.0003,0.0536,0.012,0.0048
C57BL/6,RL-29,Jax,500,0,5.73239376,3.908485019,10006800,0.566,0.45,0.384,0.128,0.417,0.41,0.0425,0.0145,0.0084,0.565,0.273,0.0546,0.033,0.0742,0.0132,0.0129,0.161,0.0558,0.0438,0.0206,0.004,0.0015,0.0184,0.0174,0.0143,0.0062,0.0023,0.0009,0.0125,0.0031,0.0013,0.0288,0.0101,0.0066
C57BL/6,RL-29,Jax,501,0,6.294466226,5.216165902,15540000,0.478,0.429,0.347,0.143,0.491,0.608,0.0345,0.0099,0.0147,0.708,0.443,0.115,0.0537,0.191,0.04,0.0382,0.22,0.1,0.0422,0.0369,0.0109,0.0024,0.0169,0.0087,0.0064,0.0095,0.0028,0.001,0.0274,0.0098,0.0018,0.0537,0.0223,0.0155
C57BL/6,RL-29,Jax,502,0,6.200485698,4.681241237,11398800,0.542,0.535,0.329,0.102,0.425,0.596,0.0271,0.0103,0.0117,0.69,0.427,0.117,0.0815,0.185,0.0321,0.0444,0.231,0.103,0.0792,0.0356,0.015,0.0033,0.022,0.0104,0.011,0.0125,0.0041,0.0018,0.0264,0.0137,0.0028,0.0492,0.0245,0.0104
C57BL/6,RL-29,Jax,503,0,5.851258349,5.021189299,10908000,0.471,0.493,0.379,0.0963,0.495,0.618,0.0308,0.0089,0.0102,0.734,0.424,0.115,0.0757,0.224,0.0507,0.0539,0.226,0.093,0.0596,0.0288,0.007,0.0025,0.0212,0.0066,0.0043,0.0104,0.0032,0.0006,0.0209,0.0062,0.0019,0.0451,0.0145,0.0138
C57BL/6,RL-29,Jax,504,0,5.72427587,4.264030344,9224400,0.48,0.468,0.376,0.124,0.493,0.503,0.0454,0.0154,0.013,0.623,0.371,0.0601,0.0505,0.194,0.0294,0.0458,0.239,0.0532,0.0509,0.0522,0.0109,0.0031,0.0155,0.0053,0.0042,0.0086,0.002,0.0005,0.038,0.0095,0.0026,0.0668,0.0171,0.0077
C57BL/6,RL-29,Jax,505,1,5.693140461,3.873126764,9046800,0.52,0.485,0.367,0.0858,0.456,0.392,0.0342,0.031,0.0271,0.504,0.275,0.0556,0.0248,0.0873,0.0242,0.02,0.145,0.041,0.0378,0.0115,0.0031,0.0012,0.0201,0.0134,0.0154,0.0047,0.0015,0.0006,0.0101,0.0031,0.0009,0.0212,0.0073,0.0048
C57BL/6,RL-29,Jax,506,1,5.08278537,4.06694679,20640000,0.417,0.473,0.357,0.127,0.561,0.396,0.0599,0.0539,0.0261,0.641,0.272,0.038,0.0358,0.0872,0.0112,0.0135,0.238,0.0554,0.072,0.0556,0.0051,0.005,0.0506,0.013,0.0223,0.0248,0.0048,0.0037,0.0369,0.0038,0.004,0.0741,0.0103,0.0128
C57BL/6,RL-29,Jax,507,1,5.712649702,4.272615061,17076000,0.44,0.504,0.325,0.135,0.529,0.54,0.0496,0.0184,0.0152,0.7,0.353,0.0748,0.0498,0.121,0.0184,0.0281,0.197,0.0629,0.0597,0.0308,0.0035,0.0003,0.0168,0.0098,0.0082,0.0068,0.0019,0.0011,0.0209,0.0026,0.0002,0.0443,0.0154,0.005
C57BL/6,RL-29,Jax,508,1,5.54241043,4.312459457,15804000,0.417,0.516,0.353,0.0979,0.558,0.466,0.0482,0.0229,0.0106,0.656,0.336,0.0511,0.055,0.137,0.0139,0.023,0.195,0.0605,0.0702,0.0539,0.0056,0.0063,0.0274,0.0106,0.0095,0.0126,0.0016,0.0011,0.0331,0.0049,0.0054,0.063,0.0101,0.0209
C57BL/6,RL-29,Jax,509,1,5.354108439,3.039414119,15792000,0.374,0.5,0.348,0.121,0.603,0.409,0.0531,0.0146,0.0095,0.562,0.23,0.0259,0.0177,0.0541,0.0016,0.0055,0.17,0.0433,0.0374,0.0277,0.0024,0.0012,0.0135,0.0048,0.0081,0.006,0.0012,0.0007,0.018,0.0021,0.001,0.0359,0.0033,0.0051
